date_time,outgoing_volume
2023-07-01,0.7056343950619267
2023-07-02,0.6812378585394854
2023-07-03,0.6068222127896495
2023-07-04,0.6367862698589475
2023-07-05,0.7449091058687481
2023-07-06,0.7928126122105901
2023-07-07,0.9130504994235548
2023-07-08,0.743255105037218
2023-07-09,0.7239326856942119
2023-07-10,0.7125466313578435
2023-07-11,0.7893542784108104
2023-07-12,0.8170708142501767
2023-07-13,0.8783453435298341
2023-07-14,0.889505585871497
2023-07-15,0.7724690756934292
2023-07-16,0.6789161393449513
2023-07-17,0.7229728475302426
2023-07-18,0.7379775762217715
2023-07-19,0.8551672938321649
2023-07-20,0.8307932760755135
2023-07-21,0.9455156608595482
2023-07-22,0.8506262426037791
2023-07-23,0.6727151893966437
2023-07-24,0.7072512508821244
2023-07-25,0.8501652064461742
